pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,disc_year,discoverymethod,sy_dist
HD 17156 b,12.26262489,1036.12060682,21.2164294,0.1632,0.6772,6046.0,1.285,1.517,2007.0,Radial Velocity,78.0863
TOI-6000 b,0.94,0.779,0.448959,,,3419.0,0.37,0.38,2025.0,Transit,75.7664
K2-189 c,2.31,5.95,6.67932,0.068,,5442.0,0.85,0.879,2018.0,Transit,242.113
KMT-2024-BLG-0404L b,11.9,8657.64580668,,0.85,,,0.09,,2025.0,Microlensing,7210.0
KMT-2024-BLG-1281L b,4.59,19.06970442,,1.96,,,0.32,,2025.0,Microlensing,7180.0
GJ 317 b,13.3,794.5,695.69,1.138,0.0826,3496.0,0.402,0.403,2007.0,Radial Velocity,15.1968
TOI-6303 b,11.59,2493.0,9.485236,0.0761,0.02,3977.0,0.644,0.609,2025.0,Transit,152.219
LHS 1903 d,2.5,5.96,12.566287,0.08604,0.112,3664.0,0.538,0.539,2026.0,Transit,35.6917
LHS 1903 e,1.732,5.79,29.31773,0.15135,0.014,3664.0,0.538,0.539,2026.0,Transit,35.6917
WASP-120 b,15.58048317,1541.4755,3.61126721,0.0514,0.057,6450.0,1.393,1.68443,2016.0,Transit,381.174
WASP-140 b,14.23540549,775.5052,2.23598448,0.0323,0.047,5300.0,0.9,0.87,2016.0,Transit,117.598
HD 85426 c,3.19,10.3,35.73,,0.06,5746.0,0.991,1.1303,2026.0,Radial Velocity,53.974
TOI-1774.01,2.78,8.5,16.70988,,0.05,5746.0,0.991,1.1303,2021.0,Transit,53.974
HD 176986 b,,1487.75477317,6.49164,0.062956,0.066,4931.0,0.789,0.782,2017.0,Radial Velocity,27.7843
KOINTREAU-3 b,13.1,1080.6165838,,342.0,,3920.0,0.41,0.730795,2026.0,Imaging,140.563
PDS 70 b,21.96960217,1017.0509024,43500.0,20.8,0.17,4109.0,0.982,1.26,2018.0,Imaging,113.064
HD 176986 d,2.49,6.76,61.376,0.28149,,4931.0,0.789,0.782,2026.0,Radial Velocity,27.7843
TOI-6692 b,11.67975789,197.05361234,131.125,0.512,0.537,5890.0,1.047,1.385,2026.0,Transit,312.903
TOI-4342 b,2.329,7.3,5.5382592,0.0519,0.0,3866.0,0.587,0.598,2023.0,Transit,61.5204
PDS 70 c,22.19378179,2383.7130525,,34.3,0.037,4109.0,0.982,1.26,2019.0,Imaging,113.064
V2376 Ori b,87.20586985,6356.56814,,71.0,,,0.45,,2025.0,Imaging,
TOI-5489 b,1.4,2.54,3.15222,,,3547.0,0.41,0.42,2025.0,Transit,45.0907
HD 208487 b,14.3,146.20106722,129.36,0.53,0.37,6134.0,1.15,1.16,2004.0,Radial Velocity,45.147
HD 181433 b,,1708.64551603,9.3745,0.0828,0.396,4918.0,0.86,0.79,2008.0,Radial Velocity,26.8762
TOI-1135 b,9.91994792,58.79825529,8.0277327,0.0815,0.062,6320.0,1.119,1.202,2024.0,Transit,114.048
TOI-5716 b,0.96,0.84,6.7663,,,3436.0,0.19,0.22,2025.0,Transit,39.4122
HD 181433 d,13.2,858.1366989,6896.1,6.74,0.444,4918.0,0.86,0.79,2008.0,Radial Velocity,26.8762
HD 181433 c,,2207.00045821,1018.5,1.885,0.2402,4918.0,0.86,0.79,2008.0,Radial Velocity,26.8762
DMPP-1 b,4.26,16.8,17.812,0.1423,0.2,6196.0,1.21,1.26,2019.0,Radial Velocity,62.5388
HD 202206 b,12.1,6849.20217085,256.26,0.81,0.426,5764.23,1.06,1.04,2026.0,Radial Velocity,45.9665
TOI-4940 b,6.61,89.0,25.867811,0.165,,5504.0,1.012,1.163,2025.0,Transit,345.659
TOI-5734 b,2.1,9.1,6.1841876,0.05921,,4750.0,0.724,0.639,2026.0,Transit,32.5102
GJ 480 b,2.91,8.8,9.5536,0.068,0.0,3509.0,0.45,0.449,2020.0,Radial Velocity,14.2358
DMPP-1 d,2.02,4.72,3.1417,0.04467,0.36,6196.0,1.21,1.26,2019.0,Radial Velocity,62.5388
DMPP-2 b,14.2,171.48,5.203,0.06638,0.06,6500.0,1.41,1.78,2019.0,Radial Velocity,137.94
K2-19 d,1.044,6.2,2.50827,0.03478,0.44,5350.0,0.892,0.824,2016.0,Transit,289.827
NGTS-35 b,10.9,152.0,25.241192,0.16,0.192,4717.0,0.789,0.753,2025.0,Transit,183.078
TOI-2267 c,1.14,1.55,3.4950412,0.0263,,3030.0,0.171,0.2075,2025.0,Transit,22.55
TOI-2267 b,1.0,0.972,2.28909,0.0205,,3030.0,0.171,0.2075,2025.0,Transit,22.55
HD 39194 c,2.65,7.49,14.0309,0.1083,0.078,5205.0,0.86,0.783742,2021.0,Radial Velocity,26.4131
DMPP-3 A b,1.44,2.67,5.59,0.05958,0.42,5138.0,0.9,0.91,2019.0,Radial Velocity,46.8917
TOI-5007 b,11.07447293,211.03806225,2.543371,0.0307,0.074,3793.0,0.632,0.656,2026.0,Transit,203.352
TOI-7166 b,2.01,4.7,12.92063621,0.06191,0.0,3099.0,0.19,0.222,2025.0,Transit,35.4153
TOI-375 b,10.77183045,236.78216321,9.45469,0.099,0.087,5259.9,1.441,2.9,2026.0,Transit,396.213
TOI-5422 b,9.10169233,8899.195396,5.377219,0.0619,0.094,5820.0,1.066,1.474,2026.0,Transit,346.141
HD 28185 b,12.8,1859.29618095,385.92,1.034,0.063,5602.0,0.974,1.048,2001.0,Radial Velocity,39.3809
XO-3 b,14.79585452,4217.58296089,3.19152309,0.04815,0.2791,6970.0,1.449,1.523,2007.0,Transit,213.053
DMPP-6 c,3.74,13.47,36.441,0.2206,0.31,6182.09,1.079,1.27,2026.0,Radial Velocity,54.6303
TOI-7510 b,7.31,18.1,11.530869,0.1019,0.0572,5720.0,1.063,1.035,2025.0,Transit,249.006
TOI-5788 c,2.272,6.4,16.213362,0.1197,0.046,5615.0,0.87,0.87,2026.0,Transit,97.614
TOI-5788 b,1.528,3.72,6.340758,0.064,0.061,5615.0,0.87,0.87,2026.0,Transit,97.614
DMPP-9 b,3.89,14.43,12.733,0.1097,0.25,6092.0,1.1,1.26,2026.0,Radial Velocity,109.539
HD 72659 c,12.1,6165.8710958,35500.0,21.5,0.114,5929.0,1.033,1.36,2022.0,Radial Velocity,51.8949
