pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,disc_year,discoverymethod,sy_dist
"TOI-6954 b",3.63524486,12.80000000,4.02074127419,,,5170.87,0.834000,0.947112,2026,"Transit",190.04200000
"WASP-7 b",14.90797000,305.11680000,4.95464160000,0.0617000000,0.034000,6400.00,1.276000,1.432000,2008,"Transit",162.30300000
"DS Tuc A b",5.70000000,413.17900000,8.13826800000,,0.000000,5428.00,1.010000,0.964000,2019,"Transit",44.06220000
"TOI-128.01",2.21898000,5.56000000,4.94046810000,0.0538101900,,6086.00,0.851969,1.130000,2024,"Transit",68.47270000
"TOI-209 b",2.39472090,6.32000000,4.37943587445,,,4806.66,0.810000,0.742779,2026,"Transit",113.38700000
"TOI-261.01",3.04498630,9.51000000,3.36392540000,0.0347921890,,5890.30,0.496728,1.280180,2021,"Transit",114.49500000
"TOI-261.02",3.34822227,11.20000000,13.03935862135,,,5890.30,1.069000,1.313830,2021,"Transit",114.49500000
"TOI-262 b",2.07000000,4.94000000,11.14529000000,0.1630000000,,5310.00,0.913000,0.853000,2023,"Transit",43.93200000
"TOI-2040 b",10.32347122,248.22398587,3.86085760000,0.0473000000,0.109000,5132.00,0.920000,0.870000,2026,"Transit",144.71700000
"TOI-2227 b",3.09885187,9.79000000,4.22175815648,,,5889.54,1.030000,1.208470,2026,"Transit",165.44100000
"TOI-2977 b",13.15934334,533.95172376,2.35056140000,0.0338600000,0.000000,5691.00,0.936000,1.073000,2023,"Transit",
"Kepler-256 d",2.48000000,6.71000000,5.83917200000,0.0640000000,0.000000,5551.00,1.037000,1.301000,2014,"Transit",1026.43000000
"K2-90 c",1.30000000,2.24000000,2.90070600000,0.0350000000,0.190000,4421.98,0.704613,0.634754,2016,"Transit",134.18800000
"HD 11506 d",12.30000000,4068.20360960,26500.00000000000,18.2000000000,0.290000,6123.00,1.220000,1.240000,2022,"Radial Velocity",51.26100000
"Kepler-1118 b",2.74000000,7.95000000,38.67150750000,0.2079000000,0.000000,5688.00,0.960000,0.970000,2016,"Transit",888.32500000
"K2-247 c",2.19000000,5.43000000,6.49424000000,0.0615000000,,4667.00,0.740000,0.690000,2018,"Transit",258.11300000
"K2-322 b",1.92000000,4.35000000,8.20500000000,0.0594000000,,4141.00,0.630000,0.602000,2020,"Transit",123.41500000
"HD 141004 b",3.77000000,13.63483866,15.50830000000,0.1238000000,0.160000,5885.38,1.051904,1.389372,2021,"Radial Velocity",11.81480000
"Kepler-168 c",2.69000000,7.70000000,13.19324200000,0.1160000000,0.000000,6282.00,1.113000,1.107000,2014,"Transit",1343.60000000
"Kepler-419 b",10.80000000,794.50000000,69.75460000000,0.3700000000,0.833000,6430.00,1.390000,1.740000,2014,"Transit",1011.36000000
"TOI-4153 b",16.11851425,365.50266805,4.61741410000,0.0631100000,0.039000,6860.00,1.572000,1.605000,2024,"Transit",423.84000000
